# Generated by make_crust_compositions.jl -- do not edit by hand.
# isobaric 1.0 GPa, F_TARGET=0.2, batch melting
# delta_iw is the CORE-FORMATION fO2, which sets mantle FeO.
# T_melt is the melting temperature at that pressure, NOT a potential temperature.
mg_si,delta_iw,mantle_feo,T_melt,melt_fraction,residual_phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O,CaO_Al2O3
1.3,-1.9,9.0046,1319,0.19958,opx;ol;spl;cpx,47.3926,0.91751,16.1798,0.106368,8.2221,12.0875,13.2179,1.73308,0.143217,0.8169
1.3,-1.8,10.0688,1314,0.200795,ol;spl;cpx;opx,47.1194,0.902259,16.1378,0.0992729,9.00684,11.787,13.1031,1.70399,0.140451,0.8119
1.3,-1.7,11.2542,1308,0.199822,opx;spl;cpx;ol,46.8068,0.892713,16.1624,0.0902717,9.82241,11.434,12.9637,1.6882,0.13955,0.8021
1.3,-1.6,12.5736,1301,0.200327,ol;cpx;spl;opx,46.4782,0.877435,16.1626,0.0818118,10.698,11.076,12.8293,1.65929,0.137287,0.7938
1.3,-1.5,14.0405,1295,0.200369,opx;ol;spl;cpx,46.1224,0.862698,16.194,0.0727632,11.6016,10.6929,12.6877,1.63156,0.134384,0.7835
1.3,-1.4,15.6699,1287,0.20011,opx;cpx;ol;spl,45.737,0.847676,16.2504,0.0633229,12.5458,10.2829,12.5389,1.60189,0.132105,0.7716
1.3,-1.3,17.4776,1281,0.200838,ol;spl;cpx,44.3403,0.87533,16.0668,0.0554248,13.8006,9.76557,13.3718,1.59502,0.129191,0.8323
1.3,-1.2,19.4805,1315,0.200033,ol;spl,42.3839,0.876697,14.6172,0.0464029,16.6084,10.0362,13.726,1.57778,0.127365,0.9390
1.3,-1.1,21.6965,1429,0.200016,spl;ol,41.1967,0.726315,9.00625,0.0343176,22.9693,12.3737,12.0342,1.53554,0.123656,1.3362
1.3,-1,24.1443,1437,0.200059,spl;ol;fper,40.9736,0.692139,8.63736,0.0341591,23.8656,12.4991,11.6912,1.48693,0.119915,1.3536
1.35,-5,0.2609,1367,0.200697,spl;cpx;ol;opx,49.8644,1.00279,16.9916,0.177005,0.278197,15.1091,14.5217,1.89829,0.156887,0.8546
1.35,-4.5,0.4637,1365,0.199277,cpx;opx;ol;spl,49.7783,1.00114,17.0221,0.172936,0.492,14.9982,14.4723,1.90545,0.157685,0.8502
1.35,-4,0.8236,1363,0.200239,opx;cpx;spl;ol,49.6598,0.996969,16.9679,0.169942,0.868812,14.8705,14.421,1.88964,0.155491,0.8499
1.35,-3.5,1.4617,1359,0.200698,opx;ol;spl;cpx,49.4471,0.989584,16.9078,0.163525,1.5218,14.6248,14.318,1.87237,0.154977,0.8468
1.35,-3,2.5901,1352,0.200632,cpx;ol;opx;spl,49.072,0.978039,16.8397,0.151611,2.63315,14.1878,14.1341,1.85021,0.153322,0.8393
1.35,-2.9,2.9033,1350,0.200495,opx;cpx;spl;ol,48.9727,0.974975,16.8245,0.148425,2.92677,14.0701,14.0841,1.84572,0.152689,0.8371
1.35,-2.8,3.2540,1348,0.199426,ol;cpx;opx;spl,48.8527,0.971695,16.8355,0.143903,3.25591,13.9205,14.0187,1.84774,0.153304,0.8327
1.35,-2.7,3.6465,1346,0.200439,ol;spl;cpx;opx,48.7379,0.967374,16.7846,0.141155,3.62056,13.7963,13.9691,1.83257,0.150432,0.8323
