# Generated by make_continental_compositions.jl -- do not edit by hand.
# Stage 2: hydrous partial melting of the stage-1 oceanic crust (TTG model).
# isobaric 15.0 kbar, H2O=3.0 wt%, F_TARGET=0.20, batch melting
# Melt is the continental crust; the residue is discarded.
mg_si,delta_iw,T_melt2,melt_fraction2,residual_phases2,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O
0.65,-1.1,953,0.200288,cpx;g;ilm,51.2165,1.84765,15.0353,0.000284456,17.2401,4.42906,4.47379,5.13877,0.618489
0.65,-1,953,0.200078,ilm;cpx;g,50.344,1.74438,14.7591,0.000278668,18.7226,4.26226,4.52502,5.04312,0.599259
0.7,-5,846,0.200064,amp;cpx;spl;q;ru,73.2822,1.43886,13.3382,0.00529545,0.0859768,4.03608,3.35412,3.71314,0.746122
0.7,-4.5,846,0.200032,amp;cpx;spl;q;ru,73.2669,1.44211,13.2946,0.00511508,0.153885,4.06692,3.37342,3.67538,0.721735
0.7,-4,846,0.199817,amp;cpx;spl;q;ru,73.1877,1.43017,13.3335,0.00477112,0.264468,3.9574,3.3064,3.76682,0.748763
0.7,-3.5,846,0.200289,spl;amp;cpx;q;ru,73.1116,1.43565,13.243,0.00429814,0.46701,3.99558,3.33008,3.69827,0.714503
0.7,-3,844,0.199852,spl;amp;cpx;q;ru,72.9204,1.41797,13.2648,0.00355503,0.788459,3.82436,3.23784,3.81422,0.728345
0.7,-2.9,844,0.199956,spl;amp;cpx;q;ru,72.8292,1.41965,13.2952,0.00340425,0.87656,3.78772,3.2546,3.82094,0.712667
0.7,-2.8,844,0.19988,cpx;amp;g;q;ru,72.6841,1.42336,13.347,0.00288217,0.995904,3.73524,3.2905,3.81012,0.710893
0.7,-2.7,844,0.200231,g;amp;cpx;q;ru,72.5596,1.42743,13.3713,0.00173288,1.12094,3.6953,3.32664,3.78622,0.710865
0.7,-2.6,843,0.199637,amp;cpx;g;q;ru,72.4649,1.41671,13.453,0.000942793,1.20489,3.58531,3.32595,3.84433,0.704006
0.7,-2.5,840,0.20012,amp;cpx;g;q;ru,72.4142,1.39589,13.5525,0.000527628,1.24699,3.44241,3.2802,3.96235,0.704922
0.7,-2.4,836,0.199641,amp;g;cpx;q;ru,72.3772,1.36113,13.7063,0.000333304,1.25636,3.23767,3.19889,4.15133,0.710827
0.7,-2.3,832,0.199486,g;amp;cpx;q;ru,72.3798,1.31953,13.8415,0.000226182,1.2569,3.03262,3.0844,4.36467,0.720335
0.7,-2.2,826,0.19956,cpx;g;amp;q;ru,72.4016,1.27205,13.9762,0.000163761,1.24963,2.81909,2.9437,4.60808,0.729444
0.7,-2.1,820,0.199887,amp;g;cpx;q;ru,72.4385,1.21928,14.1076,0.000119125,1.23773,2.60008,2.77408,4.8811,0.74154
0.7,-2,814,0.20004,g;amp;cpx;q;ru,72.7597,1.16681,13.9112,9.39927e-05,1.29637,2.54144,2.49696,5.08877,0.738631
0.7,-1.9,807,0.200313,g;cpx;amp;q;ru,73.1469,1.12006,13.6096,7.62871e-05,1.39656,2.53433,2.22425,5.22675,0.741478
0.7,-1.8,800,0.200487,cpx;g;amp;opx;q;ru,73.4542,1.07419,13.416,6.16989e-05,1.48595,2.45867,2.03871,5.3281,0.74416
0.7,-1.7,804,0.200036,cpx;g;opx;q;ru,73.8334,1.10158,12.9421,6.37627e-05,1.80089,2.4171,1.97681,5.19881,0.729273
0.7,-1.6,925,0.199923,g;ilm;opx;cpx,59.4375,2.4347,16.3937,0.000266963,7.21917,4.17655,3.67847,5.9428,0.716759
0.7,-1.5,944,0.199855,opx;g;cpx;ilm,55.2773,2.37266,16.7566,0.000320861,10.1668,4.64174,4.15108,5.9316,0.701857
0.7,-1.4,948,0.199715,g;ilm;opx;cpx,54.0971,2.24219,16.4729,0.000320561,11.7674,4.68419,4.25981,5.79043,0.685679
0.7,-1.3,951,0.199916,g;opx;cpx;ilm,52.8871,2.11131,16.1604,0.000319228,13.4748,4.69559,4.35226,5.64973,0.668509
0.7,-1.2,954,0.200251,opx;cpx;ilm;g,51.7023,1.99849,15.7507,0.000316738,15.2995,4.71343,4.45364,5.44093,0.640568
0.7,-1.1,954,0.20005,cpx;g;ilm,50.5982,1.87526,15.4195,0.000308969,17.0258,4.63146,4.52611,5.30169,0.621707
0.7,-1,954,0.200021,cpx;g;ilm,49.5458,1.74895,15.1376,0.000301914,18.6896,4.47785,4.58178,5.2145,0.603656
0.75,-5,849,0.200386,cpx;amp;q;ru,72.7006,1.46311,13.8876,0.00448339,0.089762,3.73364,3.55366,3.83662,0.730467
0.75,-4.5,849,0.200106,amp;cpx;q;ru,72.6256,1.46658,13.8975,0.00419806,0.161268,3.72545,3.58102,3.80899,0.729439
0.75,-4,849,0.199499,cpx;amp;q;ru,72.4984,1.47417,13.8987,0.00380224,0.2947,3.72897,3.6378,3.74041,0.723019
0.75,-3.5,850,0.199681,cpx;amp;q;ru,72.2988,1.49167,13.8493,0.00335434,0.549542,3.76801,3.7194,3.61141,0.708578
0.75,-3,850,0.200402,amp;g;cpx;q;ru,71.9935,1.51273,13.7506,0.00201608,1.00764,3.79186,3.8072,3.44939,0.685088
0.75,-2.9,849,0.19954,cpx;amp;g;q;ru,71.9537,1.49974,13.7857,0.00133098,1.07924,3.70749,3.78337,3.49966,0.689815
0.75,-2.8,847,0.200116,g;amp;cpx;q;ru,71.9567,1.48285,13.8033,0.000855894,1.1355,3.61887,3.72413,3.58352,0.694261
0.75,-2.7,845,0.200619,amp;cpx;g;q;ru,71.9882,1.45776,13.837,0.000583304,1.17136,3.50184,3.63901,3.71058,0.693631
0.75,-2.6,841,0.199476,cpx;g;amp;q;ru,72.0441,1.41993,13.8917,0.000411518,1.19503,3.34492,3.52379,3.8765,0.703682
0.75,-2.5,838,0.199354,cpx;g;amp;q;ru,72.2592,1.3822,13.7651,0.000311185,1.24076,3.28178,3.32168,4.03761,0.711314
0.75,-2.4,835,0.200594,amp;cpx;g;q;ru,72.4955,1.34493,13.6108,0.000241676,1.29053,3.23624,3.1078,4.19664,0.717273
0.75,-2.3,830,0.200027,cpx;g;amp;q;ru,72.7323,1.29806,13.4883,0.000190233,1.33899,3.14884,2.87824,4.39156,0.723616
0.75,-2.2,825,0.2006,g;amp;cpx;q;ru,72.9895,1.25271,13.3331,0.000153287,1.39939,3.0796,2.63952,4.58362,0.722462
0.75,-2.1,820,0.200159,amp;g;cpx;q;ru,73.2776,1.20648,13.1336,0.000124259,1.48219,3.0256,2.40052,4.74335,0.73058
0.75,-2,813,0.199448,g;opx;amp;cpx;q;ru,73.473,1.15745,13.071,9.9841e-05,1.54011,2.88599,2.21832,4.91833,0.735774
0.75,-1.9,886,0.19988,g;opx;cpx;ru,64.5434,2.09936,16.38,0.0002101,3.38726,3.66362,3.11864,6.06121,0.746268
0.75,-1.8,925,0.19999,cpx;g;opx,58.5776,2.80751,17.488,0.000331642,5.83605,4.49125,3.85035,6.2097,0.739236
0.75,-1.7,933,0.199933,g;cpx;opx,57.3346,2.7484,17.4153,0.000340499,7.01263,4.60851,3.97658,6.17425,0.729457
0.75,-1.6,940,0.200003,g;opx;ilm;cpx,56.0921,2.61691,17.2806,0.000346762,8.36848,4.71061,4.10279,6.11201,0.716168
0.75,-1.5,946,0.199942,ilm;g;cpx;opx,54.8607,2.46777,17.0871,0.000350547,9.84976,4.78742,4.21812,6.02311,0.705669
0.75,-1.4,950,0.200326,g;opx;cpx;ilm,53.6107,2.32905,16.7936,0.000354396,11.5052,4.86171,4.339,5.88243,0.677936
0.75,-1.3,954,0.200381,g;cpx;ilm;opx,52.3558,2.18623,16.4574,0.000353312,13.267,4.90665,4.44175,5.71883,0.665953
0.75,-1.2,955,0.200007,cpx;g;ilm,51.1315,2.03966,16.1071,0.000345701,15.0747,4.91253,4.51922,5.569,0.645867
0.75,-1.1,956,0.200105,g;cpx;ilm,49.9746,1.89386,15.811,0.00033792,16.8258,4.80481,4.59437,5.46982,0.625433
0.75,-1,956,0.200418,g;cpx;ilm,48.7881,1.74827,15.4866,0.000332073,18.66,4.68676,4.65992,5.36417,0.605866
0.8,-5,856,0.200074,amp;cpx;q;ru,71.8638,1.57801,14.3122,0.00322463,0.118254,3.90267,4.22411,3.3022,0.695547
0.8,-4.5,856,0.199807,cpx;amp;q;ru,71.8294,1.57951,14.2714,0.00314121,0.21069,3.91194,4.2203,3.27814,0.695461
0.8,-4,857,0.199522,amp;cpx;q;ru,71.8422,1.58762,14.0946,0.00317756,0.385866,4.01026,4.19696,3.19367,0.685708
0.8,-3.5,860,0.199844,cpx;amp;q;ru,72.03,1.60776,13.5423,0.003553,0.741374,4.34063,4.07436,2.99794,0.662092
0.8,-3,858,0.200455,amp;g;cpx;q;ru,72.4296,1.56548,12.9371,0.00114131,1.17341,4.43695,3.7074,3.09087,0.658115
0.8,-2.9,856,0.199645,amp;g;cpx;q;ru,72.5679,1.53645,12.8474,0.000854958,1.23746,4.37259,3.57294,3.19712,0.667284
0.8,-2.8,854,0.200051,g;amp;cpx;q;ru,72.7223,1.50644,12.748,0.000653345,1.29769,4.31073,3.42533,3.3158,0.673035
0.8,-2.7,850,0.199777,g;cpx;amp;q;ru,72.8717,1.47039,12.6804,0.000505213,1.35396,4.20949,3.26448,3.46672,0.682349
0.8,-2.6,847,0.200403,cpx;amp;g;q;ru,73.034,1.43361,12.6007,0.00039879,1.41109,4.11206,3.08891,3.63022,0.688992
0.8,-2.5,843,0.200005,amp;cpx;g;q;ru,73.2139,1.3927,12.5111,0.000316425,1.47343,4.01165,2.90437,3.79479,0.697845
0.8,-2.4,849,0.200134,g;amp;cpx;ru,72.3031,1.46437,12.8596,0.000275788,1.67365,4.06868,2.80723,4.11823,0.704918
0.8,-2.3,893,0.199973,cpx;g;opx;amp;ru,64.8262,2.19474,16.4216,0.000354629,2.52089,4.3226,3.52066,5.44572,0.74731
0.8,-2.2,896,0.199774,cpx;g;amp;opx;ru,63.4552,2.27916,17.1359,0.000322345,2.76369,4.17906,3.51951,5.90832,0.758825
0.8,-2.1,900,0.19984,opx;g;amp;cpx;ru,61.8405,2.39598,17.8818,0.000299774,3.09792,4.09199,3.54157,6.38077,0.769184
0.8,-2,910,0.199914,g;cpx;opx;ru,60.654,2.58546,17.9144,0.000318357,3.79034,4.25512,3.6579,6.38198,0.760496
0.8,-1.9,918,0.199785,cpx;opx;g;ru,59.4154,2.78097,17.8776,0.000336896,4.62526,4.41966,3.78321,6.34511,0.752426
0.8,-1.8,928,0.200101,cpx;g;opx,58.1389,2.81315,17.8309,0.000358402,5.65365,4.59418,3.92759,6.30364,0.7377
0.8,-1.7,936,0.20009,g;opx;cpx,56.9257,2.74741,17.742,0.0003682,6.81202,4.7336,4.05796,6.25465,0.726305
0.8,-1.6,942,0.199704,cpx;opx;g,55.6438,2.69388,17.5895,0.000379994,8.14009,4.85436,4.18385,6.17875,0.715481
0.8,-1.5,947,0.199699,opx;cpx;ilm;g,54.3877,2.56231,17.3912,0.000383874,9.61372,4.95127,4.30024,6.09186,0.701302
0.8,-1.4,952,0.200006,cpx;opx;ilm;g,53.0937,2.40137,17.1326,0.000386263,11.2596,5.03508,4.41215,5.97836,0.686798
0.8,-1.3,955,0.200138,g;cpx;ilm,51.8171,2.23878,16.8102,0.000384159,13.029,5.08552,4.5129,5.8398,0.666231
