Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.5,1.0,0.001,1e-06,0.05,0.3,0.25,225.80565793156114
0.5,1.0,0.001,0.01,0.05,0.3,0.25,238.72095423201733
0.5,1.0,0.001,0.0001,0.05,0.3,0.25,231.29824434828095
0.5,1.0,0.01,1e-06,0.05,0.3,0.25,233.78411225109073
0.5,1.0,0.01,0.1,0.05,0.3,0.25,256.46335318114694
0.5,1.0,0.01,1e-05,0.05,0.3,0.25,236.6234627263765
0.5,1.0,0.01,0.0001,0.05,0.3,0.25,240.12813994090203
0.5,1.0,0.01,0.01,0.05,0.3,0.25,248.93368825073017
0.5,1.0,0.01,1.0,0.05,0.3,0.25,277.91585935532953
0.5,1.0,0.1,1e-06,0.05,0.3,0.25,235.54574757652765
0.5,1.0,0.01,0.001,0.05,0.3,0.25,244.3695617566099
0.5,1.0,0.1,0.01,0.05,0.3,0.25,251.20898865198183
0.5,1.0,0.1,0.001,0.05,0.3,0.25,246.45239864393074
0.5,1.0,0.1,1.0,0.05,0.3,0.25,281.4487747243244
0.5,1.0,0.1,0.0001,0.05,0.3,0.25,242.06978018620916
0.5,1.0,0.01,10.0,0.05,0.3,0.25,263.20306025766536
0.5,1.0,1.0,1e-06,0.05,0.3,0.25,236.29181000334407
0.5,1.0,0.1,1e-05,0.05,0.3,0.25,238.46416588693285
0.5,1.0,0.1,10.0,0.05,0.3,0.25,266.26632867571897
0.5,1.0,1.0,0.0001,0.05,0.3,0.25,243.0637190178216
0.5,1.0,1.0,1e-05,0.05,0.3,0.25,239.2914620141589
0.5,1.0,0.1,0.1,0.05,0.3,0.25,259.21966649061676
0.5,1.0,10.0,1e-05,0.05,0.3,0.25,234.6538539115064
0.5,1.0,10.0,1e-06,0.05,0.3,0.25,231.81478723833433
0.5,1.0,1.0,1.0,0.05,0.3,0.25,283.9913516555064
0.5,1.0,1.0,0.001,0.05,0.3,0.25,247.63056060873572
0.5,1.0,1.0,0.1,0.05,0.3,0.25,262.2343636922774
0.5,1.0,1.0,10.0,0.05,0.3,0.25,266.82742168399795
0.5,1.0,1.0,0.01,0.05,0.3,0.25,252.6452230962528
0.5,1.0,10.0,0.0001,0.05,0.3,0.25,238.42199536783608
0.6,1.0,1e-06,1e-06,0.05,0.3,0.25,219.8321410318357
0.5,1.0,10.0,0.1,0.05,0.3,0.25,261.0043001891548
0.6,1.0,1e-06,1e-05,0.05,0.3,0.25,221.7310762082057
0.6,1.0,1e-06,0.01,0.05,0.3,0.25,229.29913187945104
0.6,1.0,1e-06,0.1,0.05,0.3,0.25,232.97250085762212
0.6,1.0,1e-06,1.0,0.05,0.3,0.25,241.62807906659307
0.6,1.0,1e-06,0.001,0.05,0.3,0.25,226.665332072159
0.6,1.0,1e-06,10.0,0.05,0.3,0.25,241.5862551936332
0.6,1.0,1e-05,1e-06,0.05,0.3,0.25,223.18213001364492
0.5,1.0,10.0,0.001,0.05,0.3,0.25,243.2349006301949
0.6,1.0,1e-06,0.0001,0.05,0.3,0.25,223.99501493840896
0.5,1.0,10.0,0.01,0.05,0.3,0.25,248.73163669907117
0.6,1.0,1e-05,0.0001,0.05,0.3,0.25,227.71876264367458
0.5,1.0,10.0,1.0,0.05,0.3,0.25,283.4034325346891
0.6,1.0,1e-05,1e-05,0.05,0.3,0.25,225.25783735039127
0.6,1.0,1e-05,0.001,0.05,0.3,0.25,230.61715862137342
0.6,1.0,1e-05,0.01,0.05,0.3,0.25,233.56331916117574
0.5,1.0,10.0,10.0,0.05,0.3,0.25,270.1377534159127
0.6,1.0,1e-05,10.0,0.05,0.3,0.25,244.54012814769925
0.6,1.0,1e-05,1.0,0.05,0.3,0.25,248.48280258845344
0.6,1.0,0.0001,1e-06,0.05,0.3,0.25,228.4606937535165
0.6,1.0,1e-05,0.1,0.05,0.3,0.25,237.8462835354177
0.6,1.0,0.0001,0.0001,0.05,0.3,0.25,233.61548772827908
0.6,1.0,0.0001,0.001,0.05,0.3,0.25,236.9267108912854
0.6,1.0,0.0001,1e-05,0.05,0.3,0.25,230.80718625812142
0.6,1.0,0.0001,10.0,0.05,0.3,0.25,251.22612599836404
0.6,1.0,0.0001,1.0,0.05,0.3,0.25,260.5827545413014
0.6,1.0,0.001,0.0001,0.05,0.3,0.25,241.77891184508186
0.6,1.0,0.001,0.1,0.05,0.3,0.25,256.9671751274392
0.6,1.0,0.001,1e-05,0.05,0.3,0.25,238.48436129882674
0.6,1.0,0.0001,0.01,0.05,0.3,0.25,240.41261214622074
0.6,1.0,0.001,10.0,0.05,0.3,0.25,262.8894205742116
0.6,1.0,0.0001,0.1,0.05,0.3,0.25,245.78735636602082
0.6,1.0,0.001,1.0,0.05,0.3,0.25,276.98793590453516
0.6,1.0,0.01,1e-05,0.05,0.3,0.25,247.02829321690072
0.6,1.0,0.001,0.001,0.05,0.3,0.25,245.68693271074451
0.6,1.0,0.01,0.0001,0.05,0.3,0.25,250.82615005124782
0.6,1.0,0.001,1e-06,0.05,0.3,0.25,235.78143907560332
0.6,1.0,0.01,1e-06,0.05,0.3,0.25,244.00364098427062
0.6,1.0,0.001,0.01,0.05,0.3,0.25,249.9523052479601
0.6,1.0,0.01,0.01,0.05,0.3,0.25,260.50019841192744
0.6,1.0,0.01,0.001,0.05,0.3,0.25,255.36791049031424
0.6,1.0,0.1,1e-06,0.05,0.3,0.25,245.82930598617324
0.6,1.0,0.1,0.0001,0.05,0.3,0.25,252.8173009935781
0.6,1.0,0.1,0.01,0.05,0.3,0.25,262.82688215696095
0.6,1.0,0.01,1.0,0.05,0.3,0.25,293.76309991923824
0.6,1.0,0.01,10.0,0.05,0.3,0.25,277.3445093532073
0.6,1.0,0.1,0.1,0.05,0.3,0.25,272.2328990572291
0.6,1.0,0.1,10.0,0.05,0.3,0.25,280.7815317104404
0.6,1.0,0.01,0.1,0.05,0.3,0.25,269.32455294558025
0.6,1.0,1.0,0.001,0.05,0.3,0.25,258.5793052244956
0.6,1.0,0.1,1e-05,0.05,0.3,0.25,248.9200571425076
0.6,1.0,0.1,0.001,0.05,0.3,0.25,257.4802081658877
0.6,1.0,0.1,1.0,0.05,0.3,0.25,297.58177248396265
0.6,1.0,1.0,0.01,0.05,0.3,0.25,264.2867266567061
0.6,1.0,1.0,0.0001,0.05,0.3,0.25,253.75160192147143
