Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.6,1.0,1e-05,10.0,0.05,0.3,0.25,245.07758010557694
0.6,1.0,1e-05,0.1,0.05,0.3,0.25,238.19834944847557
0.6,1.0,0.0001,1e-06,0.05,0.3,0.25,229.5150821909392
0.6,1.0,1e-05,0.001,0.05,0.3,0.25,230.93115556225794
0.6,1.0,0.0001,0.01,0.05,0.3,0.25,241.7090084752152
0.6,1.0,0.0001,1e-05,0.05,0.3,0.25,231.9037207820032
0.6,1.0,0.0001,1.0,0.05,0.3,0.25,262.7492101847743
0.6,1.0,0.0001,0.1,0.05,0.3,0.25,247.27599368584558
0.5,1.0,10.0,10.0,0.05,0.3,0.25,408.6660034934222
0.6,1.0,0.0001,0.0001,0.05,0.3,0.25,234.76981443979517
0.6,1.0,0.0001,0.001,0.05,0.3,0.25,238.14460235688497
0.6,1.0,0.0001,10.0,0.05,0.3,0.25,252.81065380035724
0.6,1.0,0.001,1e-05,0.05,0.3,0.25,241.18044924749643
0.6,1.0,0.001,0.01,0.05,0.3,0.25,253.30329592888373
0.6,1.0,0.001,0.1,0.05,0.3,0.25,260.81457113822376
0.6,1.0,0.001,0.001,0.05,0.3,0.25,248.7480342101707
0.6,1.0,0.001,0.0001,0.05,0.3,0.25,244.63750618267144
0.6,1.0,0.001,1.0,0.05,0.3,0.25,282.45606312738204
0.6,1.0,0.001,1e-06,0.05,0.3,0.25,238.3632727501283
0.6,1.0,0.01,1e-06,0.05,0.3,0.25,250.58696994851647
0.6,1.0,0.01,0.0001,0.05,0.3,0.25,257.6425422397646
0.6,1.0,0.01,1e-05,0.05,0.3,0.25,253.65371385379768
0.6,1.0,0.01,0.01,0.05,0.3,0.25,268.14735183119427
0.6,1.0,0.001,10.0,0.05,0.3,0.25,267.3705787181888
0.6,1.0,0.01,0.001,0.05,0.3,0.25,262.449702197451
0.6,1.0,0.1,1e-05,0.05,0.3,0.25,269.60367777182296
0.6,1.0,0.1,1e-06,0.05,0.3,0.25,267.4362672277358
0.6,1.0,0.1,0.0001,0.05,0.3,0.25,273.0339031486204
0.6,1.0,0.1,0.001,0.05,0.3,0.25,277.56685308432384
0.6,1.0,1.0,1e-06,0.05,0.3,0.25,312.6872593554073
0.6,1.0,0.01,10.0,0.05,0.3,0.25,288.23856122911707
0.6,1.0,1.0,1e-05,0.05,0.3,0.25,313.42257272700266
0.6,1.0,1.0,0.0001,0.05,0.3,0.25,315.6493049993467
0.6,1.0,0.01,0.1,0.05,0.3,0.25,278.1820192292765
0.6,1.0,0.01,1.0,0.05,0.3,0.25,305.48807901129084
0.6,1.0,0.1,10.0,0.05,0.3,0.25,312.7128989190389
0.6,1.0,0.1,0.1,0.05,0.3,0.25,298.26073213225766
0.6,1.0,0.1,0.01,0.05,0.3,0.25,283.9600961670649
0.6,1.0,1.0,0.1,0.05,0.3,0.25,354.4020071546354
