,Run_ID,Instellation (S0),Albedo,P_CO2 (bar),Surface_Temp (K),Status
379,test,1.5,0.0,1e-06,350.0,Runaway
380,test,1.5,0.0,1e-05,350.0,Runaway
381,test,1.5,0.0,0.0001,350.0,Runaway
382,test,1.5,0.0,0.001,350.0,Runaway
383,test,1.5,0.0,0.01,350.0,Runaway
384,test,1.5,0.0,0.1,350.0,Runaway
385,test,1.5,0.0,1.0,350.0,Runaway
386,test,1.5,0.0,10.0,350.0,Runaway
387,test,1.5,0.25,1e-07,350.0,Runaway
388,test,1.5,0.25,1e-06,350.0,Runaway
389,test,1.5,0.25,1e-05,350.0,Runaway
390,test,1.5,0.25,0.0001,350.0,Runaway
391,test,1.5,0.25,0.001,350.0,Runaway
392,test,1.5,0.25,0.01,350.0,Runaway
393,test,1.5,0.25,0.1,350.0,Runaway
394,test,1.5,0.25,1.0,350.0,Runaway
395,test,1.5,0.25,10.0,350.0,Runaway
396,test,1.5,0.5,1e-07,350.0,Runaway
397,test,1.5,0.5,1e-06,350.0,Runaway
398,test,1.5,0.5,1e-05,350.0,Runaway
399,test,1.5,0.5,0.0001,350.0,Runaway
400,test,1.5,0.5,0.001,350.0,Runaway
401,test,1.5,0.5,0.01,350.0,Runaway
402,test,1.5,0.5,0.1,350.0,Runaway
403,test,1.5,0.5,1.0,350.0,Runaway
404,test,1.5,0.5,10.0,350.0,Runaway
